10,5
20,9
30,19
40,20
50,27
60,35
70,39
80,38
90,43
100,51
110,54
120,62
130,69
140,75
150,84
160,94
170,99
180,107
190,118
200,124
210,136
220,146
230,157
240,163
250,180
260,185
270,197
280,207
290,222
300,229
310,247
320,255
330,268
340,280
350,294
360,304
370,320
380,335
390,348
400,361
410,378
420,392
430,405
440,422
450,438
460,453
470,470
480,489
490,503
500,518
10,4
20,10
30,12
40,16
50,21
60,25
70,31
80,36
90,43
100,48
110,54
120,62
130,69
140,76
150,82
160,91
170,101
180,108
190,116
200,125
210,134
220,143
230,152
240,161
250,174
260,182
270,194
280,206
290,215
300,228
310,241
320,250
330,261
340,277
350,292
360,302
370,317
380,330
390,347
400,360
410,372
420,388
430,405
440,421
450,434
460,450
470,462
480,486
490,501
500,515
